國文,英文,數學,社會,自然
13,15,15,12,12
13,12,6,14,6
13,9,15,15,11
7,13,7,14,6
15,13,13,15,14
13,15,14,6,15
6,6,9,11,6
10,8,12,8,7
13,13,7,12,13
7,7,13,12,10
14,15,15,15,7
7,14,14,14,15
12,11,9,8,6
11,7,11,12,12
12,11,14,9,13
14,10,9,9,15
14,15,11,12,15
8,8,15,11,8
10,9,11,6,7
14,8,6,13,10
9,8,14,9,13
10,15,15,14,12
15,11,12,9,8
12,11,11,9,13
15,6,15,9,13
11,9,8,15,12
14,10,11,11,6
13,7,7,15,13
15,9,15,11,6
8,12,11,7,13
12,12,13,9,10
13,9,9,10,12
8,14,11,6,6
10,8,11,6,10
7,10,13,15,9
8,12,9,6,14
10,13,7,15,8
9,10,6,15,6
11,8,14,14,15
13,13,10,7,8
7,13,13,9,14
14,7,6,13,6
7,15,14,14,8
9,14,7,7,8
8,13,15,9,10
11,8,9,12,15
10,14,13,14,12
9,12,9,14,7
14,14,15,15,12
13,12,7,9,13
10,15,11,8,11
14,15,11,15,6
9,9,10,14,11
12,10,7,9,9
7,12,13,6,14
7,7,9,10,8
8,10,14,11,15
15,15,6,10,12
12,14,6,13,15
12,6,13,12,12
14,7,7,10,10
15,6,9,10,15
9,14,13,11,14
13,12,9,13,9
11,14,7,14,7
7,8,10,10,8
9,15,11,9,12
6,7,12,7,7
7,9,11,9,14
7,7,9,13,12
11,14,12,12,10
9,7,6,15,8
10,11,14,12,14
8,9,8,7,13
9,8,9,13,15
8,9,15,15,7
10,9,12,13,6
8,9,11,14,15
6,9,12,8,12
12,12,8,12,10
7,12,12,10,9
6,15,9,10,10
14,7,7,14,9
7,9,12,14,9
10,9,8,10,6
14,6,15,12,10
9,11,8,6,13
13,6,11,8,13
8,14,8,6,14
13,12,14,9,14
12,14,15,9,10
9,7,10,6,12
12,15,9,10,9
10,8,14,12,11
7,11,13,12,15
10,10,15,6,11
11,7,8,12,6
15,9,8,8,12
15,8,8,13,9
7,14,14,11,6
